height
5
5
5
5
5
5.00006
5.07108
5.75038
5.48222
5.04029
4.70865
4.54143
4.62289
4.84461
4.92532
4.94912
4.96239
4.97324
4.98663
4.9942
4.98605
4.97168
4.96334
4.96372
